,N,B,H,N_ESTIMATORS,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,PCC,R2,MAE,Within_0.4,Within_1,Correct_Sign,Correct_Sign_Extreme
0,80,65,5.0,200,30,10,4,sqrt,0.6682872798644368,0.44109818276224777,0.8420459576881212,0.41208648085438915,0.719718676738734,0.7415993748371972,0.878707627118644
1,0,65,10.0,200,10,2,2,log2,0.6389929784038698,0.4003429575408648,0.879964942025724,0.3889033602500651,0.7145089867152904,0.7361292003125814,0.8654661016949152
2,140,65,1.0,100,30,5,10,sqrt,0.6491266644216086,0.4169851135904691,0.8645707070465539,0.39098723625944254,0.7155509247199792,0.7442042198489189,0.878177966101695
3,100,35,0.1,200,10,5,2,log2,0.6744546694639322,0.4449932751873523,0.8461553184781238,0.38703654307815416,0.7247265937583356,0.7495332088556949,0.8927015250544662
4,80,65,0.1,200,10,5,10,log2,0.636268275735311,0.3955884355497945,0.8812943146557896,0.3839541547277937,0.7165928627246679,0.739775983328992,0.875
5,160,50,0.1,100,,5,10,sqrt,0.6523267335482327,0.41876263143335557,0.859288100725233,0.39720611491829205,0.7161307327358988,0.7461781760674749,0.8807092960773778
6,0,50,5.0,200,10,5,1,log2,0.6563907411877573,0.4216981880311257,0.8674442737272839,0.3779652082235108,0.7129678439641539,0.7472324723247232,0.8833960236432026
7,140,50,0.1,200,10,10,10,sqrt,0.6545251504616295,0.42161583480720377,0.8608335510081895,0.3863995782814971,0.7195571955719557,0.7472324723247232,0.8828586781300376
8,0,50,0.1,200,30,5,4,sqrt,0.6744801555825267,0.4488871418432262,0.8345138375767875,0.41196626251976803,0.7240379546652609,0.7443331576172905,0.8839333691563676
9,0,65,0.1,300,,10,4,sqrt,0.6670866364289112,0.4390777613363245,0.8441499495887563,0.408960666840323,0.7202396457410785,0.7374316228184423,0.8728813559322034
10,0,65,0.1,200,,2,2,sqrt,0.6744302146868412,0.45208282424189083,0.8356566690241443,0.4113050273508726,0.7207606147434228,0.738473560823131,0.8744703389830508
11,160,50,0.1,200,30,5,1,log2,0.6872046090643231,0.468341624718141,0.8226714269551721,0.4180284659989457,0.7290458618871903,0.7430152872957301,0.8807092960773778
12,140,50,10.0,100,,2,1,log2,0.6724026230668926,0.45078309750433154,0.8305745172663677,0.419082762256194,0.7221929362150764,0.7422245651027939,0.8747984954325632
13,80,50,1.0,100,,5,4,sqrt,0.6755572829076607,0.4516361989178075,0.830822340984435,0.40985767000527146,0.7250922509225092,0.7443331576172905,0.8817839871037076
14,140,50,10.0,100,30,10,4,log2,0.6658963056773874,0.4385024649018605,0.8400466154108492,0.4127569847127043,0.7250922509225092,0.7430152872957301,0.8780225685115529
15,120,35,1.0,300,,2,10,log2,0.6546843194248692,0.41959688428793285,0.8562605922385175,0.3963723659642571,0.7156575086689784,0.7457988797012537,0.8872549019607843
16,80,35,10.0,300,10,10,10,log2,0.6427035972656967,0.403444326582566,0.8702314743593864,0.38623632968791677,0.7201920512136569,0.7423312883435583,0.8790849673202614
17,80,65,5.0,300,,2,2,sqrt,0.6789068839962973,0.45750274541835534,0.8334376079600306,0.4139098723625944,0.7233654597551445,0.7395154988278198,0.8755296610169492
18,140,65,10.0,100,30,5,4,log2,0.6591643264550611,0.4305975524702328,0.8501173574111384,0.40713727533211774,0.7181557697317009,0.7402969523313363,0.878177966101695
19,80,65,0.1,300,10,10,1,sqrt,0.6584161124601874,0.4258848461855368,0.8658549123002639,0.38213076321958844,0.7160718937223235,0.742641312841886,0.878177966101695
20,100,65,1.0,100,,10,1,log2,0.6693408948245876,0.44486762929697643,0.8424335753432074,0.40427194581922377,0.7228444907528002,0.738473560823131,0.8728813559322034
21,140,50,0.1,300,10,10,10,log2,0.6476628276303544,0.41026863436938055,0.869430084858601,0.385872430152873,0.7192936215076436,0.7461781760674749,0.8866200967221923
22,120,35,10.0,100,,10,1,sqrt,0.6676117996282879,0.4432330174420963,0.8366904384334242,0.4123766337690051,0.7191251000266737,0.7423312883435583,0.8790849673202614
23,0,50,10.0,200,,5,2,log2,0.6651033666458779,0.4377521482941852,0.8416718622967984,0.41354770690564047,0.7148128624143384,0.7430152872957301,0.8790972595378829
24,100,35,5.0,300,,5,1,log2,0.6891012209050995,0.4714183127346009,0.8178161997577894,0.41477727393971725,0.7289943985062683,0.7431315017337957,0.8839869281045751
25,140,35,0.1,100,30,2,1,sqrt,0.6845610895644423,0.4681876039400542,0.8192080605907709,0.41611096292344624,0.7284609229127768,0.750600160042678,0.8867102396514162
26,140,50,5.0,100,30,5,2,log2,0.6835703195392707,0.4647284276903175,0.8218849638808177,0.41486557722720085,0.7287822878228782,0.7490774907749077,0.8817839871037076
27,100,65,5.0,100,,10,1,sqrt,0.671496544102031,0.4482870102104479,0.8396126278119758,0.41417035686376663,0.722584006251628,0.7455066423547799,0.8824152542372882
28,120,35,1.0,100,30,2,4,sqrt,0.6816533661876809,0.4606576229878099,0.8246532678898623,0.41851160309415847,0.7271272339290478,0.7447319285142705,0.8861655773420479
29,160,35,1.0,300,10,5,1,sqrt,0.6737317985038603,0.4467573718591267,0.8472554155174438,0.384635902907442,0.7223259535876234,0.7441984529207789,0.8861655773420479
30,80,65,1.0,300,,2,10,log2,0.6430865172528727,0.40485080351392544,0.8711692745496401,0.3915082052617869,0.7158114092211514,0.7387340453243032,0.8755296610169492
31,160,65,5.0,300,30,2,1,sqrt,0.6780392277085027,0.45787282608354085,0.8334002384706763,0.41417035686376663,0.7205001302422506,0.7408179213336806,0.878177966101695
32,80,65,1.0,200,10,5,2,log2,0.6604045601305809,0.4272523152041089,0.8613912754057171,0.38577754623599897,0.7186767387340454,0.7366501693149258,0.871822033898305
33,120,35,5.0,200,,5,2,log2,0.6879381637864335,0.46891170185223463,0.8184580181933103,0.41531074953320885,0.7289943985062683,0.7452654041077621,0.8856209150326797
34,100,35,0.1,200,10,2,4,log2,0.6704531497212717,0.4391970612624396,0.8476042757847856,0.39263803680981596,0.7263270205388104,0.7460656174979995,0.8905228758169934
35,100,35,0.1,100,30,2,10,log2,0.6500545279674229,0.4146304376787381,0.8593109531091162,0.39450520138703654,0.7151240330754868,0.7444651907175247,0.8828976034858388
36,0,35,0.1,100,,5,4,log2,0.6760502707536398,0.45067181663493305,0.8305976021420174,0.41371032275273406,0.725526807148573,0.7452654041077621,0.8888888888888888
37,80,35,5.0,300,,5,4,sqrt,0.6832451962644257,0.4612774451513335,0.822704133613001,0.41584422512670044,0.7271272339290478,0.7455321419045079,0.8905228758169934
38,100,35,5.0,100,10,10,1,sqrt,0.670134611910626,0.44116774388531543,0.8537987357256783,0.3854361162976794,0.7177914110429447,0.7473993064817285,0.8867102396514162
39,0,65,5.0,100,30,10,2,sqrt,0.6731822668373927,0.4489850566235405,0.8363667876187401,0.41964053138838237,0.7238864287574889,0.7387340453243032,0.8723516949152542
40,160,50,1.0,300,10,10,10,log2,0.6413876330545816,0.4010326897509271,0.8733713951896444,0.3871903004744333,0.7190300474433315,0.7467053241960991,0.8860827512090274
41,120,65,10.0,100,10,10,2,log2,0.6419241259841434,0.40452190276713873,0.8774165446859693,0.38317270122427716,0.7191977077363897,0.7366501693149258,0.8702330508474576
42,100,35,5.0,300,10,5,1,sqrt,0.674895844153247,0.4472254330447999,0.8467000019931983,0.38596959189117097,0.7244598559615898,0.7447319285142705,0.8883442265795207
43,100,65,0.1,300,10,10,4,sqrt,0.6601793544383361,0.42742428948482114,0.8600895972956548,0.38473560823131026,0.7173743162281844,0.7415993748371972,0.8813559322033898
44,140,65,5.0,300,30,5,10,log2,0.6446655214421353,0.4082560607792176,0.8685617672861067,0.39307111226882,0.7163323782234957,0.7415993748371972,0.8797669491525424
45,0,35,0.1,100,30,5,4,sqrt,0.6775213656905051,0.4537766474444419,0.8284243273494919,0.417711389703921,0.7223259535876234,0.7449986663110163,0.8883442265795207
46,160,35,5.0,300,10,2,2,log2,0.673153333193227,0.4430622932063877,0.8472491591328405,0.39210456121632437,0.7260602827420646,0.7479327820752201,0.8932461873638344
47,80,35,5.0,100,10,10,10,sqrt,0.6494073005732913,0.4135998608791861,0.8654508586095295,0.3843691651106962,0.7183248866364363,0.7455321419045079,0.8883442265795207
48,120,35,5.0,200,,10,2,sqrt,0.6846530082744038,0.46454959838168175,0.8233351057138368,0.41664443851693783,0.7239263803680982,0.7473993064817285,0.8867102396514162
49,140,65,1.0,100,30,2,1,sqrt,0.6731071987255983,0.45288323759691607,0.8361401739452076,0.41104454284970043,0.7186767387340454,0.7455066423547799,0.8808262711864406
50,80,50,0.1,300,30,10,10,sqrt,0.6558207075463643,0.42228397886075686,0.8574473447207447,0.39826041117554034,0.7134949920927781,0.7416974169741697,0.8823213326168726
51,100,65,1.0,200,10,5,1,sqrt,0.660745918429411,0.4294578083953793,0.863939215766369,0.38108882521489973,0.7171138317270123,0.7423808283407137,0.878177966101695
52,160,35,1.0,300,10,2,4,log2,0.6692622884251236,0.43737815434658756,0.8485210160157948,0.38650306748466257,0.7271272339290478,0.7497999466524407,0.8927015250544662
53,80,35,5.0,300,10,2,1,sqrt,0.672937453803222,0.44542187905711095,0.848426595153143,0.38703654307815416,0.722859429181115,0.7468658308882369,0.8888888888888888
54,140,50,10.0,200,,5,1,log2,0.6717905067948567,0.4491699995352535,0.8322787468177506,0.4172377438060095,0.7219293621507644,0.7419609910384818,0.8758731864588931
55,100,35,10.0,100,10,2,2,log2,0.6611229539647613,0.42930541825900614,0.8541512070978343,0.38917044545212054,0.7169911976527074,0.7460656174979995,0.8818082788671024
56,100,50,5.0,100,,10,2,log2,0.6785376654685991,0.4551219762130776,0.8314783818751922,0.4127569847127043,0.7264101212440696,0.7440695835529784,0.8855454056958625
57,100,65,10.0,300,30,2,4,log2,0.6585124122119924,0.42781139257811474,0.8510951846458239,0.4068767908309456,0.7223235217504559,0.7400364678301641,0.8734110169491526
58,160,50,5.0,300,30,10,2,sqrt,0.6808431917657154,0.45880747166765434,0.8294068328526958,0.4175013178703216,0.7248286768581972,0.7419609910384818,0.8807092960773778
59,80,50,5.0,100,,5,1,log2,0.6813043645714469,0.4612727252880823,0.8270488259708632,0.4211913547706906,0.7287822878228782,0.7419609910384818,0.8807092960773778
60,0,65,0.1,300,10,5,1,log2,0.6538062606683209,0.4182464902600519,0.8693169527898299,0.3787444647043501,0.7152904402188069,0.7444647043500912,0.8771186440677966
61,160,35,5.0,300,10,10,1,log2,0.6686621934844303,0.4370921236434556,0.8548522046749478,0.3822352627367298,0.7247265937583356,0.7457988797012537,0.8894335511982571
62,80,35,10.0,200,10,10,2,sqrt,0.6620104555606546,0.43067095926493004,0.8536832106108265,0.3907708722325954,0.7201920512136569,0.7433982395305415,0.8850762527233116
63,0,35,5.0,300,,10,4,sqrt,0.6783646503207116,0.4537535279605531,0.8290051264333512,0.41877834089090427,0.7225926913843692,0.7463323552947453,0.8861655773420479
64,140,50,1.0,200,30,10,10,log2,0.6540134841777975,0.4192723883150157,0.8606466784158318,0.39325250395361094,0.720611491829204,0.7435424354243543,0.8833960236432026
65,120,65,1.0,200,30,2,2,log2,0.6773948172673923,0.4548627999644085,0.8343449992088658,0.40713727533211774,0.7236259442563168,0.7382130763219589,0.8739406779661016
66,160,65,5.0,200,30,10,10,sqrt,0.6460624874516645,0.4101704341255582,0.8672520533969319,0.3928106277676478,0.7181557697317009,0.7418598593383694,0.8765889830508474
67,0,35,10.0,100,30,10,1,sqrt,0.6594307735847774,0.43129113641458194,0.8468289008905809,0.4057081888503601,0.7167244598559616,0.7383302213923713,0.8758169934640523
68,80,35,5.0,100,,2,1,log2,0.6867966212073848,0.46961455303409283,0.8189664634793369,0.42171245665510804,0.7271272339290478,0.7476660442784743,0.8867102396514162
69,140,50,5.0,200,30,2,4,log2,0.6786427349375428,0.45505576796225755,0.8314574092043429,0.4103848181338956,0.7248286768581972,0.7443331576172905,0.8839333691563676
70,0,35,5.0,200,,10,10,log2,0.6476939563873387,0.4100123964034199,0.8641219532425255,0.3963723659642571,0.7129901307015204,0.7420645505468125,0.8769063180827886
71,140,35,5.0,300,30,10,10,sqrt,0.6626283802822851,0.4340750442682686,0.8474998074490211,0.39450520138703654,0.7209922646038943,0.7479327820752201,0.8872549019607843
72,160,65,10.0,200,30,5,1,sqrt,0.6639862137678968,0.43848453111967844,0.8441457086671549,0.41625423287314406,0.7176348007293566,0.7374316228184423,0.871292372881356
