,pcc_0,pcc_1,pcc_2,pcc_3,pcc_4,pcc_5,pcc_6,mae_0,mae_1,mae_2,mae_3,mae_4,mae_5,mae_6
1VFB,0.5746003463116819,0.5579460814401213,0.5733297954117278,0.5788977501879481,0.6103522935664377,0.6184864905452615,0.6092010391122175,0.7996022696817094,0.8049040578140636,0.794455372717221,0.7887682934132219,0.8086004097695023,0.79437313016644,0.7947700303886132
3HFM,0.7139500397621407,0.6843167664994778,0.68548715605558,0.6808016867803014,0.6853420601180364,0.6761298191383552,0.6828697007193031,1.8685746080064882,1.875564589009982,1.8799871647928663,1.8777868445642467,1.8744584440988046,1.8935031402576665,1.892086826130364
1CHO,0.8210298622042211,0.8084883630402301,0.802573323699571,0.8083697443419863,0.802531848638448,0.8061515686143502,0.8028380303172605,1.6589882036245838,1.6803861800034072,1.7008291513680664,1.67856580768997,1.6477812189391705,1.665114552804682,1.6172460013866563
1PPF,0.6414077546083069,0.6600098296183884,0.6551625481791779,0.6776509823542097,0.6798835211457366,0.6840092778144455,0.6837411511760769,2.1990662853731626,2.1767825427189282,2.185226956663864,2.1487530369409167,2.1538363993296556,2.1550499012193844,2.1552870992014825
1R0R,0.65185409750343,0.660026489276107,0.6716065598061066,0.6699478179468973,0.670093364727156,0.6615663082198285,0.6625382885731872,2.101639697394162,2.0972455334140383,2.071808627577556,2.0550613337030423,2.0534321176426777,2.0576578481310865,2.064727451253396
3SGB,0.6170169634599566,0.6170350170902009,0.6184146358481418,0.6220590335227557,0.6189797363804213,0.6178512692950638,0.623584615631241,1.5601228604894097,1.5625099779026181,1.559400223378236,1.5461050464190829,1.5627683529423229,1.570364283493213,1.5583043125843077
3C60,0.7610933321761018,0.7584762034880865,0.7705571712359134,0.7807745299852965,0.7677689443278249,0.7921879709989297,0.7827263945156729,0.4270220506170397,0.4444917504330048,0.4298425965540162,0.38034862882424636,0.39236523736829554,0.3948631587597652,0.4072459610448093
1KTZ,0.8066064975723469,0.8222468285974515,0.8339226435865983,0.8328853472868418,0.83297492459636,0.8345358518657499,0.828512011809094,0.7702276244378355,0.7076043103899461,0.6739915693094503,0.6849592256621635,0.6814848517025696,0.6840508966866804,0.7029746688746018
3QIB,0.7381690120144713,0.7403703805451555,0.7321280243713644,0.7228371721152672,0.7446868272315329,0.7446081228497622,0.7266956333681566,0.8185080578837153,0.8249169172202397,0.8348784212034975,0.8416195705974171,0.8158988232117833,0.8313607041282471,0.8378771462974897
3QDG,0.11098690727316401,0.12394403258527936,0.09661026585172859,0.0857211525793448,0.08457215364212857,0.10765860368071331,0.09152452420579013,0.9373594370518777,0.9353800981920961,0.9549310481992882,0.9643485840243337,0.9457832247021821,0.916322763254852,0.8844991967014231
