,pcc_0,pcc_1,pcc_2,pcc_3,pcc_4,pcc_5,pcc_6,mae_0,mae_1,mae_2,mae_3,mae_4,mae_5,mae_6
3BT1,0.5622682770047785,0.5818039272222646,0.5988396468743806,0.5906003703301703,0.5809656991684808,0.5956637986756593,0.585075359207022,0.858188807013007,0.7436192217746206,0.5990127891366717,0.6080161579486761,0.5856110658273536,0.5155543927377575,0.5201490451564617
3S9D,0.6733192108998546,0.6747615545444612,0.6318800391458087,0.6525320697576033,0.6573809891221533,0.6668741961759285,0.6725804378337191,0.7189766152270783,0.7211802853439042,0.7515523603162829,0.7273619646103133,0.7242497956804081,0.7144060554469334,0.7015560181321473
1A22,0.6117053578777899,0.6171529811821884,0.62396855627446,0.65345167464377,0.6708606888789943,0.6657409555911422,0.6633844315029503,0.7793138420310041,0.7690755274334157,0.7323766193837943,0.6816849844866406,0.6610320526468291,0.6610922712346874,0.6661146227215022
1DAN,0.47623865720330644,0.4710119644499684,0.4733504953701236,0.4729084588458655,0.4852332112845821,0.48448648613512174,0.4840020262472594,1.2346159105732397,1.0847577098477215,0.8688530974048561,0.8759906273770162,0.8767340105118865,0.8717021627599286,0.8890576472189634
1IAR,0.5008767807187022,0.5096812642190358,0.5085525292310761,0.4995783425716136,0.5090856840761099,0.5360402805921529,0.5270810611745951,0.9174922481883603,0.9604282489257732,0.936968849493509,0.9430482185262632,0.836816772370325,0.7747049870582997,0.7874813633445743
1BRS,0.36678821534444617,0.41355389691791866,0.5676656909867721,0.6181520416589763,0.6974566392263795,0.6831924491203523,0.7057088048526217,1.7337257312215206,1.715715606524495,1.6346241810882036,1.6121287571084282,1.5305909907336603,1.5248828972577735,1.4944246986010334
4P23,0.5859435994985851,0.633293077919711,0.6621315421492903,0.6423637408995317,0.66897105420789,0.664610813590569,0.6823390075408836,0.8579877880936273,0.7107978477304936,0.6284866588982938,0.6468309208840548,0.6209805830273477,0.6205774895049481,0.6145719127805092
4P5T,0.7064673920422123,0.7221875464474322,0.7223924377069622,0.7349200749420477,0.7338175828792876,0.7539339009273767,0.7514895585156887,0.8171231116374753,0.700702019105305,0.6417155302797679,0.5850888692746217,0.6271693197967351,0.5767295244925611,0.601461570960617
1EMV,0.6843951264933021,0.6895803878539623,0.6865172655674986,0.677893228164042,0.7038301212684573,0.7024138104656256,0.7224925887140651,1.1801491496779795,1.1348087335965285,1.122596991088584,1.110552667756939,1.0350722581922316,1.0339459963183226,1.0008741250811612
1LFD,0.3849238571788526,0.3754194276172201,0.39229149506885724,0.41153575087436345,0.4068325620821634,0.41822828464429346,0.41788247517473215,0.95803818672681,0.9304912385843436,0.8877966300046128,0.8227851698675397,0.825624089672261,0.8347102143205853,0.8125510929849372
